sep=;
Execution Time;Execution Time UTC;ISIN;Publication Time;Publication Time UTC;CCY;Venue of execution (MIC Code);Venue of publication (MIC Code);Price notation;Transaction to be cleared;MMT Flags;Transaction ID Code;Price;Volume;Buyer;Seller;Trade type
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064176;210.300;224;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064175;210.300;52;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064174;210.300;132;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064173;210.300;593;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------P----;001064172;210.300;4409;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064171;210.300;371;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064170;210.300;1112;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064169;210.300;1112;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064168;210.300;228;;;
2022-04-05 17:29:57;2022-04-05T15:29:57.930000Z;SE0015811963;2022-04-05 17:29:57;2022-04-05T15:29:57.937000Z;SEK;XSTO;XSTO;MonetaryAmount;N;1K-------PH---;001064167;210.300;599;;;
